isBeaOn,isCarolOn,isMichaelOn,isNoon,giselleKnowsHowToPlay,michaelKnowsHowToPlay,carolKnowsHowToPlay,beaKnowsHowToPlay,champion1,champion2,champion3,champion4,champion5,weWon,isGadoOn,weHaveTank,weHaveAdc,weHaveApc,weHaveBruiser,weHaveSup,gameDateMilliseconds,matchId
True,True,True,False,0.0,0.0,0.0,0.0,Gragas,Braum,Corki,Maokai,MonkeyKing,True,False,True,True,False,True,True,1710211776916.0,BR1_2906790906
True,True,True,False,1.0,0.0,0.0,0.0,TwistedFate,Brand,Qiyana,Lucian,Ashe,True,False,False,True,True,False,False,1710210448455.0,BR1_2906782975
True,True,True,False,0.0,1.0,1.0,1.0,Morgana,Lulu,Lux,Mordekaiser,Pyke,True,False,False,False,True,True,True,1710209303942.0,BR1_2906770796
True,True,True,False,1.0,1.0,0.0,1.0,Jinx,Nidalee,Soraka,Rammus,Darius,False,False,True,True,False,True,True,1710208106063.0,BR1_2906766054
True,False,True,False,0.0,0.0,2.0,1.0,Pantheon,Garen,Ashe,Senna,Tryndamere,True,False,False,True,False,True,True,1710180421357.0,BR1_2906530942
True,False,True,False,0.0,0.0,2.0,1.0,Nautilus,Neeko,Jhin,Morgana,Xerath,False,False,True,True,True,False,True,1710179058776.0,BR1_2906521825
True,False,True,False,1.0,0.0,2.0,0.0,Nilah,Darius,Aatrox,Xayah,Rakan,True,False,False,True,False,True,True,1710177467565.0,BR1_2906519600
True,False,True,False,0.0,1.0,2.0,0.0,Jax,Vex,Bard,Darius,Vayne,True,False,False,True,False,True,True,1710120856391.0,BR1_2906307505
True,False,True,False,1.0,0.0,2.0,1.0,Alistar,TwistedFate,Jhin,Lulu,Irelia,True,False,True,True,True,True,True,1710119431989.0,BR1_2906291425
True,False,True,False,1.0,1.0,2.0,1.0,TwistedFate,Soraka,Ekko,Viego,Varus,True,False,False,True,True,False,True,1710117929135.0,BR1_2906276631
True,False,True,False,0.0,0.0,2.0,0.0,Samira,Kayle,Vladimir,Aatrox,Smolder,True,False,False,True,False,False,False,1710116738306.0,BR1_2906257790
True,False,True,True,1.0,0.0,2.0,1.0,Ahri,Seraphine,Malphite,Pyke,Jinx,True,False,True,True,True,False,False,1710709972361.0,BR1_2909240951
True,False,True,False,1.0,0.0,2.0,1.0,Sett,TwistedFate,Varus,Aatrox,Sylas,True,False,False,True,True,True,False,1710708875591.0,BR1_2909229780
True,False,True,False,0.0,0.0,2.0,1.0,Zilean,Darius,Sivir,Morgana,LeeSin,True,False,False,True,True,True,False,1710707607817.0,BR1_2909216582
True,False,True,False,0.0,1.0,2.0,1.0,Zoe,Swain,Zyra,Soraka,JarvanIV,False,False,False,False,True,True,True,1710705883731.0,BR1_2909202394
True,False,True,False,0.0,1.0,2.0,0.0,Leblanc,Zyra,Vex,Ekko,Evelynn,False,False,False,False,True,False,False,1710704415491.0,BR1_2909189285
True,False,True,False,0.0,1.0,2.0,1.0,Darius,Ashe,Annie,Lulu,Ryze,True,False,False,True,True,True,True,1710702880153.0,BR1_2909172565
False,False,True,False,0.0,0.0,2.0,2.0,Cassiopeia,Bard,Viktor,Thresh,Maokai,False,False,True,False,True,False,True,1710687596586.0,BR1_2909060085
False,False,True,False,1.0,0.0,2.0,2.0,Fizz,Lulu,Nidalee,Xayah,KogMaw,False,False,False,True,False,False,True,1710686141860.0,BR1_2909048548
True,True,True,False,1.0,1.0,0.0,1.0,Twitch,Neeko,Sona,Xayah,Karthus,True,False,False,True,False,False,True,1710641468808.0,BR1_2908883148
True,True,True,False,1.0,0.0,1.0,1.0,Diana,Morgana,Varus,Xayah,Swain,False,False,False,True,True,True,False,1710640357879.0,BR1_2908873010
True,True,True,False,0.0,1.0,1.0,0.0,Tryndamere,Malphite,Nasus,Amumu,Vayne,False,False,True,True,False,True,False,1710639179186.0,BR1_2908861457
True,True,True,False,0.0,1.0,0.0,0.0,MissFortune,Amumu,AurelionSol,Yuumi,Yasuo,True,False,True,True,False,False,True,1710638001959.0,BR1_2908846753
True,True,True,False,1.0,0.0,0.0,0.0,TwistedFate,LeeSin,Garen,Orianna,FiddleSticks,False,False,False,False,True,False,False,1710636699222.0,BR1_2908841043
True,False,True,False,1.0,1.0,2.0,0.0,TwistedFate,Veigar,Ekko,Pyke,Ashe,False,False,False,True,True,False,False,1710617107114.0,BR1_2908664698
False,False,True,False,0.0,0.0,2.0,2.0,Blitzcrank,Sylas,Vex,Velkoz,Irelia,True,False,False,False,False,True,True,1710613006868.0,BR1_2908635235
False,False,True,False,0.0,1.0,2.0,2.0,Sett,Illaoi,Kayle,Zed,FiddleSticks,True,False,False,False,False,True,False,1710611371518.0,BR1_2908618745
False,False,True,False,1.0,0.0,2.0,2.0,Morgana,Malphite,Nilah,Nidalee,Neeko,True,False,True,False,True,False,False,1710604773915.0,BR1_2908576740
